"number","severity","package","ecosystem","manifest","relationship","scope","summary","cve","ghsa","opened","url"
191,"medium","webpack-dev-server","npm","package-lock.json","direct","runtime","webpack-dev-server vulnerable to cross-origin source code exposure on non-HTTPS origins","CVE-2026-6402","GHSA-79cf-xcqc-c78w","2026-05-18T22:18:54Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/191"
190,"high","@babel/plugin-transform-modules-systemjs","npm","package-lock.json","transitive","development","@babel/plugin-transform-modules-systemjs generates arbitrary code when compiling malicious input","CVE-2026-44728","GHSA-fv7c-fp4j-7gwp","2026-05-09T17:18:06Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/190"
189,"high","fast-uri","npm","package-lock.json","transitive","runtime","fast-uri vulnerable to host confusion via percent-encoded authority delimiters","CVE-2026-6322","GHSA-v39h-62p7-jpjc","2026-05-09T02:01:53Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/189"
188,"high","fast-uri","npm","package-lock.json","transitive","runtime","fast-uri vulnerable to path traversal via percent-encoded dot segments","CVE-2026-6321","GHSA-q3j6-qgpj-74h6","2026-05-08T23:40:27Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/188"
185,"medium","axios","npm","package-lock.json","transitive","development","Axios: XSRF Token Cross-Origin Leakage via Prototype Pollution Gadget in `withXSRFToken` Boolean Coercion","CVE-2026-42042","GHSA-xx6v-rp6x-q39c","2026-05-08T01:02:51Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/185"
184,"medium","axios","npm","package-lock.json","transitive","development","Axios: Authentication Bypass via Prototype Pollution Gadget in `validateStatus` Merge Strategy","CVE-2026-42041","GHSA-w9j2-pvgh-6h63","2026-05-08T01:02:51Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/184"
183,"high","axios","npm","package-lock.json","transitive","development","Axios: Incomplete Fix for CVE-2025-62718 — NO_PROXY Protection Bypassed via RFC 1122 Loopback Subnet (127.0.0.0/8) in Axios 1.15.0","CVE-2026-42043","GHSA-pmwg-cvhr-8vh7","2026-05-08T01:02:50Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/183"
182,"high","axios","npm","package-lock.json","transitive","development","Axios has prototype pollution read-side gadgets in HTTP adapter that allow credential injection and request hijacking","CVE-2026-42264","GHSA-q8qp-cvcw-x6jj","2026-05-08T01:02:49Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/182"
181,"medium","postcss","npm","package-lock.json","transitive","development","PostCSS has XSS via Unescaped </style> in its CSS Stringify Output","CVE-2026-41305","GHSA-qx2v-qp2m-jg93","2026-05-08T01:02:48Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/181"
177,"high","node-forge","npm","package-lock.json","transitive","runtime","Forge has a basicConstraints bypass in its certificate chain verification (RFC 5280 violation)","CVE-2026-33896","GHSA-2328-f5f3-gj25","2026-05-08T01:02:38Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/177"
176,"high","node-forge","npm","package-lock.json","transitive","runtime","Forge has signature forgery in Ed25519 due to missing S > L check","CVE-2026-33895","GHSA-q67f-28xg-22rw","2026-05-08T01:02:37Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/176"
175,"high","node-forge","npm","package-lock.json","transitive","runtime","Forge has signature forgery in RSA-PKCS due to ASN.1 extra field  ","CVE-2026-33894","GHSA-ppp5-5v6c-4jwp","2026-05-08T01:02:36Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/175"
174,"high","node-forge","npm","package-lock.json","transitive","runtime","Forge has Denial of Service via Infinite Loop in BigInteger.modInverse() with Zero Input","CVE-2026-33891","GHSA-5m6q-g25r-mvwx","2026-05-08T01:02:36Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/174"
172,"medium","postcss","npm","documentation/package-lock.json","transitive","development","PostCSS has XSS via Unescaped </style> in its CSS Stringify Output","CVE-2026-41305","GHSA-qx2v-qp2m-jg93","2026-05-08T01:02:22Z","https://github.com/bcgov/bcgov-wordpress-block-theme/security/dependabot/172"
